period,oil_price,oil_prod,gs_impo,gs_exp,gs_imp_cvm,gs_exp_cvm,g_imp,g_exp,g_imp_cvm,g_exp_cvm,ind_prod,cpi_index,epu
1976-06-01,13.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4238995740617,NA,NA
1976-07-01,13.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4357424877998,NA,NA
1976-08-01,13.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6222586253702,NA,NA
1976-09-01,13.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0228911942294,NA,NA
1976-10-01,13.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0639052399756,NA,NA
1976-11-01,13.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5937404505304,NA,NA
1976-12-01,13.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8157449770369,NA,NA
1977-01-01,14.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0497100178002,NA,NA
1977-02-01,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0867332064255,NA,NA
1977-03-01,14.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2862627690235,NA,NA
1977-04-01,14.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4364611506073,NA,NA
1977-05-01,14.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3059504777185,NA,NA
1977-06-01,14.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5782666383388,NA,NA
1977-07-01,14.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2576321344504,NA,NA
